subset,1,,num_trips,avg_duration,hours,minutes,seconds
all,2,2,230,595.1130434782609,0.0,9.0,55.0
all,2,3,29,1320.9655172413793,0.0,22.0,0.0
all,2,5,74,804.2162162162163,0.0,13.0,24.0
all,2,7,58,508.8103448275862,0.0,8.0,28.0
all,2,8,43,518.2093023255813,0.0,8.0,38.0
all,2,22,184,373.9130434782609,0.0,6.0,13.0
all,2,24,16,725.875,0.0,12.0,5.0
all,2,33,2,895.5,0.0,14.0,55.0
all,2,34,57,548.2280701754386,0.0,9.0,8.0
all,2,36,62,440.01612903225805,0.0,7.0,20.0
all,2,49,80,504.45,0.0,8.0,24.0
all,2,58,18,1029.611111111111,0.0,17.0,9.0
all,2,69,224,560.9553571428571,0.0,9.0,20.0
all,2,70,34,431.7352941176471,0.0,7.0,11.0
all,2,75,10,1102.6,0.0,18.0,22.0
all,2,82,129,559.5426356589147,0.0,9.0,19.0
all,2,83,55,797.7454545454545,0.0,13.0,17.0
all,2,87,101,658.3564356435644,0.0,10.0,58.0
all,2,98,50,388.66,0.0,6.0,28.0
all,2,116,5,737.0,0.0,12.0,17.0
all,2,117,22,1089.9545454545455,0.0,18.0,9.0
all,2,131,70,355.2142857142857,0.0,5.0,55.0
all,2,132,101,408.4059405940594,0.0,6.0,48.0
all,2,138,16,535.8125,0.0,8.0,55.0
all,2,140,1,3144.0,0.0,52.0,24.0
all,2,150,47,430.6808510638298,0.0,7.0,10.0
all,2,151,34,532.9117647058823,0.0,8.0,52.0
all,2,156,64,609.21875,0.0,10.0,9.0
all,2,157,180,484.9888888888889,0.0,8.0,4.0
all,2,212,0,,,,
all,2,214,90,488.0111111111111,0.0,8.0,8.0
all,2,215,15,828.9333333333333,0.0,13.0,48.0
all,2,216,27,462.6666666666667,0.0,7.0,42.0
all,2,217,104,501.9423076923077,0.0,8.0,21.0
all,2,219,94,920.3191489361702,0.0,15.0,20.0
all,2,220,96,396.1041666666667,0.0,6.0,36.0
all,2,221,180,714.9944444444444,0.0,11.0,54.0
all,2,222,24,1096.125,0.0,18.0,16.0
all,2,223,139,566.0287769784172,0.0,9.0,26.0
all,2,298,30,1269.0,0.0,21.0,9.0
all,2,301,54,405.2037037037037,0.0,6.0,45.0
all,2,367,32,1010.75,0.0,16.0,50.0
all,2,368,102,649.3627450980392,0.0,10.0,49.0
all,2,638,70,669.4142857142857,0.0,11.0,9.0
all,2,639,155,394.1741935483871,0.0,6.0,34.0
all,2,640,9,345.6666666666667,0.0,5.0,45.0
all,2,641,10,377.8,0.0,6.0,17.0
all,2,642,20,566.1,0.0,9.0,26.0
all,2,644,203,431.51231527093597,0.0,7.0,11.0
all,2,645,75,824.4533333333334,0.0,13.0,44.0
all,2,646,217,326.68202764976957,0.0,5.0,26.0
all,2,647,94,522.5425531914893,0.0,8.0,42.0
all,2,788,68,950.5588235294117,0.0,15.0,50.0
all,2,789,44,652.7272727272727,0.0,10.0,52.0
all,2,790,100,357.41,0.0,5.0,57.0
all,2,791,11,602.7272727272727,0.0,10.0,2.0
all,2,792,107,811.4392523364486,0.0,13.0,31.0
all,2,793,23,796.2608695652174,0.0,13.0,16.0
all,2,794,19,1240.3157894736842,0.0,20.0,40.0
all,2,795,125,584.968,0.0,9.0,44.0
all,2,796,184,842.5597826086956,0.0,14.0,2.0
all,2,797,297,822.5016835016835,0.0,13.0,42.0
all,2,798,101,525.4851485148515,0.0,8.0,45.0
all,2,799,26,239.84615384615384,0.0,3.0,59.0
all,2,800,0,,,,
all,2,801,17,688.2352941176471,0.0,11.0,28.0
all,2,802,3,482.3333333333333,0.0,8.0,2.0
