subset,start_station_id,hour,avg_trips
all,2,5,0.2796610169491525
all,2,6,0.3333333333333333
all,2,7,0.3163841807909605
all,2,8,0.2994350282485876
all,2,9,0.3248587570621469
all,2,10,0.4689265536723164
all,2,11,0.5028248587570622
all,2,12,0.5734463276836158
all,2,13,0.8559322033898306
all,2,14,0.5423728813559322
all,2,15,0.3107344632768362
all,2,16,0.3248587570621469
all,2,17,0.21468926553672316
all,2,18,0.2627118644067797
all,2,19,0.20056497175141244
all,2,20,0.211864406779661
all,2,21,0.062146892655367235
all,2,22,0.01694915254237288
all,2,23,0.014124293785310734
all,3,5,1.2542372881355932
all,3,6,2.4152542372881354
all,3,7,2.878531073446328
all,3,8,2.1977401129943503
all,3,9,2.268361581920904
all,3,10,2.353107344632768
all,3,11,2.437853107344633
all,3,12,3.214689265536723
all,3,13,4.016949152542373
all,3,14,4.861581920903955
all,3,15,4.567796610169491
all,3,16,4.169491525423729
all,3,17,3.8502824858757063
all,3,18,3.5508474576271185
all,3,19,2.785310734463277
all,3,20,2.225988700564972
all,3,21,1.7937853107344632
all,3,22,0.8389830508474576
all,3,23,0.2796610169491525
all,5,5,1.4491525423728813
all,5,6,3.8192090395480225
all,5,7,3.553672316384181
all,5,8,3.0451977401129944
all,5,9,2.774011299435028
all,5,10,2.652542372881356
all,5,11,2.8446327683615817
all,5,12,3.830508474576271
all,5,13,4.790960451977401
all,5,14,5.090395480225989
all,5,15,4.231638418079096
all,5,16,3.3079096045197742
all,5,17,2.8559322033898304
all,5,18,2.2994350282485874
all,5,19,1.7062146892655368
all,5,20,1.6242937853107344
all,5,21,1.1666666666666667
all,5,22,0.4632768361581921
all,5,23,0.11581920903954802
all,7,5,1.1384180790960452
all,7,6,1.9745762711864407
all,7,7,2.1836158192090394
all,7,8,1.6271186440677967
all,7,9,1.423728813559322
all,7,10,1.6666666666666667
all,7,11,1.810734463276836
all,7,12,2.2457627118644066
all,7,13,2.76271186440678
all,7,14,3.1299435028248586
all,7,15,3.005649717514124
all,7,16,2.830508474576271
all,7,17,2.5677966101694913
all,7,18,2.5028248587570623
all,7,19,2.214689265536723
all,7,20,1.7175141242937852
all,7,21,1.5593220338983051
all,7,22,0.9491525423728814
all,7,23,0.2288135593220339
all,8,5,0.4011299435028249
all,8,6,0.4858757062146893
all,8,7,0.3898305084745763
all,8,8,0.4350282485875706
all,8,9,0.556497175141243
all,8,10,0.652542372881356
all,8,11,0.9745762711864406
all,8,12,1.7401129943502824
all,8,13,2.3728813559322033
all,8,14,1.5677966101694916
all,8,15,0.807909604519774
