subset,,1,num_trips,avg_duration,hours,minutes,seconds
all,215,215,48,604.4166666666666,0.0,10.0,4.0
all,215,817,38,851.6842105263158,0.0,14.0,11.0
all,215,814,38,551.0526315789474,0.0,9.0,11.0
all,215,1048,15,775.2666666666667,0.0,12.0,55.0
all,215,58,60,290.5833333333333,0.0,4.0,50.0
all,215,638,4,1492.75,0.0,24.0,52.0
all,215,1043,18,447.3888888888889,0.0,7.0,27.0
all,215,819,12,473.4166666666667,0.0,7.0,53.0
all,215,1045,30,468.03333333333336,0.0,7.0,48.0
all,215,367,19,982.9473684210526,0.0,16.0,22.0
all,215,7,12,705.4166666666666,0.0,11.0,45.0
all,215,8,28,1123.607142857143,0.0,18.0,43.0
all,215,794,29,1064.4137931034484,0.0,17.0,44.0
all,215,75,8,1691.75,0.0,28.0,11.0
all,215,815,2,1573.5,0.0,26.0,13.0
all,215,151,3,1164.6666666666667,0.0,19.0,24.0
all,215,1046,27,805.7037037037037,0.0,13.0,25.0
all,215,156,17,842.1764705882352,0.0,14.0,2.0
all,215,3,64,543.078125,0.0,9.0,3.0
all,215,49,11,916.2727272727273,0.0,15.0,16.0
all,215,83,5,1075.4,0.0,17.0,55.0
all,215,641,4,1327.5,0.0,22.0,7.0
all,215,789,26,1172.5384615384614,0.0,19.0,32.0
all,215,644,3,1738.6666666666667,0.0,28.0,58.0
all,215,87,5,1541.2,0.0,25.0,41.0
all,215,220,9,1211.7777777777778,0.0,20.0,11.0
all,215,809,24,846.875,0.0,14.0,6.0
all,215,150,11,1061.909090909091,0.0,17.0,41.0
all,215,803,111,476.0450450450451,0.0,7.0,56.0
all,215,98,2,1613.0,0.0,26.0,53.0
all,215,795,92,426.9130434782609,0.0,7.0,6.0
all,215,790,25,931.44,0.0,15.0,31.0
all,215,640,9,800.0,0.0,13.0,20.0
all,215,217,1,1430.0,0.0,23.0,50.0
all,215,214,12,1217.5833333333333,0.0,20.0,17.0
all,215,797,53,497.24528301886795,0.0,8.0,17.0
all,215,221,5,1659.4,0.0,27.0,39.0
all,215,219,8,1567.75,0.0,26.0,7.0
all,215,140,0,,,,
all,215,799,0,,,,
all,215,132,22,655.2272727272727,0.0,10.0,55.0
all,215,116,55,362.9818181818182,0.0,6.0,2.0
all,215,1044,92,846.2391304347826,0.0,14.0,6.0
all,215,117,9,990.1111111111111,0.0,16.0,30.0
all,215,222,6,709.3333333333334,0.0,11.0,49.0
all,215,788,26,670.3846153846154,0.0,11.0,10.0
all,215,806,77,535.1558441558442,0.0,8.0,55.0
all,215,24,20,462.95,0.0,7.0,42.0
all,215,792,79,347.1392405063291,0.0,5.0,47.0
all,215,793,61,474.5409836065574,0.0,7.0,54.0
all,215,812,92,258.85869565217394,0.0,4.0,18.0
all,215,1047,0,,,,
all,215,5,46,607.3695652173913,0.0,10.0,7.0
all,215,157,44,703.5909090909091,0.0,11.0,43.0
all,215,810,13,614.1538461538462,0.0,10.0,14.0
all,215,34,12,839.3333333333334,0.0,13.0,59.0
all,215,908,4,764.0,0.0,12.0,44.0
all,215,816,4,1068.5,0.0,17.0,48.0
all,215,69,30,605.0666666666667,0.0,10.0,5.0
all,215,301,5,543.6,0.0,9.0,3.0
all,215,642,14,473.07142857142856,0.0,7.0,53.0
all,215,131,13,683.8461538461538,0.0,11.0,23.0
all,215,33,1,1300.0,0.0,21.0,40.0
all,215,791,7,699.4285714285714,0.0,11.0,39.0
all,215,298,6,859.0,0.0,14.0,19.0
all,215,800,1,882.0,0.0,14.0,42.0
all,215,804,6,892.1666666666666,0.0,14.0,52.0
all,215,818,3,2130.6666666666665,0.0,35.0,30.0
all,215,1049,19,851.2105263157895,0.0,14.0,11.0
all,215,646,16,1024.4375,0.0,17.0,4.0
all,215,639,5,1059.4,0.0,17.0,39.0
all,215,212,0,,,,
all,215,223,12,1452.6666666666667,0.0,24.0,12.0
all,215,368,2,1231.0,0.0,20.0,31.0
all,215,807,1,1643.0,0.0,27.0,23.0
all,215,22,3,1518.6666666666667,0.0,25.0,18.0
all,215,1816,8,1270.5,0.0,21.0,10.0
all,215,82,2,961.5,0.0,16.0,1.0
all,215,811,2,1290.5,0.0,21.0,30.0
all,215,798,25,903.36,0.0,15.0,3.0
all,215,2,15,828.9333333333333,0.0,13.0,48.0
all,215,645,87,493.0689655172414,0.0,8.0,13.0
all,215,802,0,,,,
all,215,647,18,1069.7222222222222,0.0,17.0,49.0
all,215,216,6,593.8333333333334,0.0,9.0,53.0
all,215,796,65,574.8,0.0,9.0,34.0
all,215,801,15,631.2,0.0,10.0,31.0
all,215,1892,35,604.0571428571428,0.0,10.0,4.0
all,215,36,18,894.8888888888889,0.0,14.0,54.0
all,215,1889,8,1020.25,0.0,17.0,0.0
all,215,1888,19,632.4736842105264,0.0,10.0,32.0
all,215,1891,0,,,,
all,215,70,8,840.5,0.0,14.0,0.0
all,215,1890,2,1283.5,0.0,21.0,23.0
all,215,138,3,774.0,0.0,12.0,54.0
all,215,1887,6,896.6666666666666,0.0,14.0,56.0
all,215,1893,20,982.05,0.0,16.0,22.0
all,215,1894,55,514.7818181818182,0.0,8.0,34.0
all,215,1895,5,918.4,0.0,15.0,18.0
all,215,1899,0,,,,
all,215,1896,1,1625.0,0.0,27.0,5.0
all,215,808,10,463.8,0.0,7.0,43.0
all,215,1898,17,419.47058823529414,0.0,6.0,59.0
all,215,1897,31,483.35483870967744,0.0,8.0,3.0
all,215,1900,3,758.6666666666666,0.0,12.0,38.0
all,817,215,16,1149.75,0.0,19.0,9.0
all,817,817,570,882.2543859649123,0.0,14.0,42.0
all,817,814,553,486.58047016274867,0.0,8.0,6.0
all,817,1048,327,459.7920489296636,0.0,7.0,39.0
all,817,58,24,1149.0,0.0,19.0,9.0
all,817,638,164,593.8963414634146,0.0,9.0,53.0
all,817,1043,382,669.7643979057592,0.0,11.0,9.0
all,817,819,58,972.5344827586207,0.0,16.0,12.0
all,817,1045,198,609.3080808080808,0.0,10.0,9.0
all,817,367,381,472.4724409448819,0.0,7.0,52.0
all,817,7,25,2060.32,0.0,34.0,20.0
all,817,8,322,439.7298136645963,0.0,7.0,19.0
all,817,794,59,951.8644067796611,0.0,15.0,51.0
all,817,75,24,1543.2083333333333,0.0,25.0,43.0
all,817,815,127,1529.236220472441,0.0,25.0,29.0
all,817,151,95,530.2421052631579,0.0,8.0,50.0
all,817,1046,233,328.83261802575106,0.0,5.0,28.0
